company_id,company,domain,website,plz,ort,land,company_phone,automation_status,automation_confidence,automation_reason,automation_evidence,automation_source_url,website_status,eligible,exclusion_reason,fullenrich_company_found,fullenrich_company_name,company_match_status,company_match_score,decision_maker,title,headline,linkedin,personal_email,personal_email_status,work_email,work_email_status,direct_line,direct_line_status,mobile,mobile_status,verification_status,manual_review_reason,credits_used,api_status,error
2361,Archdata EDV und Consulting für Architekten und Ingenieure,archdata.de,http://archdata.de/,81373,München,Deutschland,+49 172 8334556,NO,0.9,"Es gibt keine belastbaren Hinweise darauf, dass die Firma Automatisierung als Leistung oder Produkt für Kunden anbietet; das Angebot umfasst IT-Support, CAD, AVA, Datenbanken, Netzwerke und Web-Design, jedoch keine expliziten Automatisierungsdienste.","Unser Ziel besteht darin unsere Kunden in den Bereichen CAD, AVA, Datenbanken, Netzwerken und Internet optimal zu unterstützen und Lösungen anzubieten",http://archdata.de/,ok,yes,,no,,,0.0,,,,,,,,,,,,,,,0,dry_run,
4449,ATeNe GmbH,atene-gmbh.de,http://www.atene-gmbh.de,14469,Potsdam,Deutschland,+493317044470,NO,0.9,"Die ATeNe GmbH bietet Fördermittelberatung, Innovationsberatung und Projektunterstützung an, erwähnt aber keine Automatisierung als Leistung oder Produkt für Kunden; interne Digitalisierung wird erwähnt, jedoch keine externe Automatisierungsdienstleistung.","Die ATeNe GmbH bietet Fördermittelberatung, Innovationsberatung, Projektadministration und Netzwerkmanagement an, unterstützt KMU bei Fördermittelakquise und Projektmanagement, führt Digitalisierung interner Unternehmensprozesse durch, aber es gibt keine Hinweise auf Automatisierung als Dienstleistu",http://www.atene-gmbh.de,ok,yes,,no,,,0.0,,,,,,,,,,,,,,,0,dry_run,
4515,Blue Ant Multi-Projektmanagementsoftware,blueant.de,https://blueant.de,10243,Berlin,Deutschland,+493029363990,YES,0.9,"Blue Ant bietet KI-gestützte Projektsteuerung und unterstützt mit automatisierten Prozessen und KI-Unterstützung für fundierte Entscheidungen, was auf Automatisierungsleistungen für Kunden hinweist.","KI-gestützte Projektsteuerung Nutzen Sie Künstliche Intelligenz, um Projekte, Ressourcen und Portfolios effizienter zu steuern. Blue Ant unterstützt Projektverantwortliche dabei, Risiken frühzeitig zu erkennen, Auslastungen besser zu bewerten und datenbasierte Entscheidungen schneller zu treffen.",https://blueant.de,ok,no,automation_provider,no,,,0.0,,,,,,,,,,,,,,,0,skipped_no_api_call,
704,coders.win,coders.win,https://coders.win/,30159,Hannover,Deutschland,+49 15678 624492,NO,0.9,"The website shows coders.win focuses on web development using technologies like Laravel, Shopify, and React, and developing Shopify apps, but does not mention any automation services or products explicitly offered to customers.","We are a thriving collective agency focusing on building performant websites using the individually best-suited tech-stack. ... Shopify apps to add FAQs, Testimonials to stores by leveraging Shopify's Metaobjects.",https://coders.win/,ok,yes,,no,,,0.0,,,,,,,,,,,,,,,0,dry_run,
4569,Enigma Software GmbH,enigma-software.de,http://www.enigma-software.de,45239,Essen,Deutschland,+492018407843,UNCERTAIN,0.0,Zu wenig lesbarer Text auf der Webseite,,,leer,no,automation_uncertain,no,,,0.0,,,,,,,,,,,,,,Zu wenig lesbarer Text auf der Webseite,0,skipped_no_api_call,
1742,Genia-Sec IT-Sicherheitsmanagement GmbH,genia-sec.de,http://www.genia-sec.de/,86830,Schwabmünchen,Deutschland,+49 8232 730221,NO,0.9,"Die Firma bietet IT-Sicherheitsmanagement und Beratung sowie Produkte im Bereich IT-Sicherheit, erwähnt aber keine Automatisierung als Leistung oder Produkt für Kunden.","Typische Tätigkeiten aus diesem Bereich sind beispielsweise: Penetrationstests und Security Audits Planung, Einrichtung und Betrieb von Firewall-Systemen Aufbau und Integration von Zertifikatsinfrastrukturen Sichere Authentifizierung und Verschlüsselung Einrichten von sicheren IT-Prozessen und Vorbe",http://www.genia-sec.de/,ok,yes,,no,,,0.0,,,,,,,,,,,,,,,0,dry_run,
228,kleinert-pcservice,kleinert-pcservice.de,https://kleinert-pcservice.de/,31089,Duingen,Deutschland,+49 5185 958845,NO,0.9,"Das Unternehmen bietet IT-Dienstleistungen wie Planung, Wartung, Service, Reparatur, Netzwerktechnik und Fehlersuche an, erwähnt aber keine Automatisierung als Leistung oder Produkt für Kunden.",Dienstleistungen Planung Wartung Service Reparatur Verkauf IP-TV Elektronische Schließsysteme Professionelle Videoüberwachung Glasfaser / DSL / LTE-5G Satelliten Internet Netzwerk Technik IT Fehlersuche / Diagnose,https://kleinert-pcservice.de/,ok,yes,,no,,,0.0,,,,,,,,,,,,,,,0,dry_run,
1874,KOMMA-D ® GmbH | Webdesign | E-Commerce | Full Stack Developement,komma-d.de,https://www.komma-d.de/,85049,Ingolstadt,Deutschland,+49 841 1294760,YES,0.95,Die Firma bietet explizit KI-Integration und Automatisierungen mit n8n und OpenAI Agent Builder zur Prozessverknüpfung und Workflow-Beschleunigung für Kundenprojekte an.,"Hat KOMMA-D Erfahrung mit KI-Integration oder -Automatisierungen? Ja. Wir integrieren KI bereits aktiv in Kundenprojekte – zum Beispiel mit der semantischen KI-Suche Victor auf ingolstadt.live . Für Automatisierungen setzen wir auf n8n und den OpenAI Agent Builder , um Prozesse zu verknüpfen, Inhalt",https://www.komma-d.de/,ok,no,automation_provider,no,,,0.0,,,,,,,,,,,,,,,0,skipped_no_api_call,
2483,NITEFLITE interaktiv,niteflite.com,http://www.niteflite.com/,80798,München,Deutschland,+49 89 71669220,NO,0.9,"Die Firma bietet Web-Anwendungsentwicklung und IT-Services (Netzwerke, IT-Security, Systemadministration) an, aber keine explizite Automatisierung von Geschäftsprozessen, RPA, KI-Agenten oder Workflow-Automatisierung für Kunden.","Wir entwickeln und gestalten Business-Anwendungen im Internet mit Hilfe von Open Source Komponenten. Als Informationsarchitekten stellen wir sicher, dass Ihre Web-Applikationen mit einem beständigen Fundament und einer benutzerfreundlichen Struktur optimal auf Ihre Zielgruppe ausgerichtet ist. ... A",http://www.niteflite.com/,ok,yes,,no,,,0.0,,,,,,,,,,,,,,,0,dry_run,
1392,powerBridge Computervertrieb,powerbridge.de,https://www.powerbridge.de/,,,Deutschland,,NO,0.9,"Die Firma bietet vor allem Hardwaresysteme und individuelle Systemintegration in High-Performance-Computing und Kommunikationssystemen an, ohne belastbare Hinweise auf Automatisierung als Kundenleistung wie Geschäftsprozess- oder Workflow-Automatisierung, RPA oder Automation Consulting.","powerBridge Computer liefert seit 1993 Computersysteme und Computer-Boards von führenden Herstellern. Wir entwickeln und fertigen Industriecomputer, Kommunikationssysteme und Boards nach den Anforderungen unserer Kunden. Wir liefern Standardsysteme oder individuell nach Ihren Wünschen gefertigte Ind",https://www.powerbridge.de/,ok,yes,,no,,,0.0,,,,,,,,,,,,,,,0,dry_run,
