grund,company_id,data_source,company,domain,website,strasse,plz,ort,land,sektor,keywords,mitarbeiter,ceo_owner_db,company_phone,company_email,automation_status,automation_confidence,automation_reason,automation_evidence,automation_source_url,website_status,eligible,exclusion_reason,fullenrich_company_found,fullenrich_company_name,company_match_status,company_match_score,decision_maker,title,headline,linkedin,decision_maker_status,individual_work_email,generic_company_email,private_personal_email,personal_email,personal_email_status,work_email,work_email_status,work_email_is_generic,direct_line,direct_line_status,mobile,mobile_status,unknown_phones,verification_status,manual_review_reason,credits_used,api_status,error
kein Entscheider gefunden,2361,master.db,Archdata EDV und Consulting für Architekten und Ingenieure,archdata.de,http://archdata.de/,Ganghoferstraße 90a,81373,München,Deutschland,Softwareentwickler/-hersteller,Softwareentwickler/-hersteller,,,+49 172 8334556,,NO,0.9,"Die Firma bietet IT- und Consulting-Dienstleistungen im Bereich Architektur- und Ingenieurbüros an, erwähnt jedoch keine expliziten Automatisierungsdienstleistungen oder Automatisierungsberatung als Angebot für Kunden.","Wir sind eine Gruppe von Architekten, Ingenieuren, IT- und Web-Spezialisten, die international in einem Netzverbund zusammenarbeiten. Unser Ziel besteht darin unsere Kunden in den Bereichen CAD, AVA, Datenbanken, Netzwerken und Internet optimal zu unterstützen und Lösungen anzubieten",http://archdata.de/,ok,yes,,yes,Michael Federmann Metallbau GmbH,possible_match,0.5,,,,,none,,,,,,,,no,,,,,,invalid,kein Entscheider gefunden,0,no_decision_maker,
kein Entscheider gefunden,4449,master.db,ATeNe GmbH,atene-gmbh.de,http://www.atene-gmbh.de,Ulanenweg 11,14469,Potsdam,Deutschland,Netzwerktechnik,Netzwerktechnik,,,+493317044470,info@atene-gmbh.de,NO,0.9,"Die ATeNe GmbH bietet vor allem Fördermittelberatung, Innovationsberatung, Fördermittelakquise und Projektadministration an, unterstützt Unternehmen bei Förderprojekten, führt keine Beratung oder Umsetzung von Automatisierung als Dienstleistung für Kunden durch.","Wir bieten einen umfassenden Service rund um die Förderung innovativer, technologieorientierter Vorhaben.\n...\nInnovationsberatung: Die ATeNe GmbH ist eine autorisierte Beratungsagentur und begleitet Unternehmen bei Produkt- und technischen Verfahrensinnovationen.\n...\nFördermittelakquise: Wir unt",,ok,yes,,yes,ATeNe GmbH,strong_match,0.7,,,,,none,,,,,,,,no,,,,,,invalid,kein Entscheider gefunden,0,no_decision_maker,
"Firmen-Zuordnung nur possible_match; kein Stellentitel im Profil, nur headline 'Managing Director at Hypergene GmbH /Blue Ant Multi-Projektm'",4515,master.db,Blue Ant Multi-Projektmanagementsoftware,blueant.de,https://blueant.de,Straße der Pariser Kommune 38,10243,Berlin,Deutschland,Software,Software,,,+493029363990,kontakt@proventis.net,NO,0.9,"Blue Ant bietet eine Projektmanagement-Software mit integrierten Funktionen inklusive KI-Unterstützung zur Projektsteuerung, aber verkauft keine Automatisierung als separate Dienstleistung oder Beratung für Kunden, sondern nur Software mit automatisierungsähnlichen Features.","Mit Blue Ant , der Projektmanagement-Software aus Deutschland, erhalten Sie mehr als nur ein leistungsstarkes Tool. ... Unsere Spezialistinnen und Spezialisten unterstützen Organisationen jeder Größe und Branche – in Deutschland, Österreich, der Schweiz und darüber hinaus – individuell, praxisnah un",https://blueant.de/de/unternehmen/support-services/,ok,yes,,yes,Blue Ant: Multi-project management software,possible_match,0.5,Norman Frischmuth,,Managing Director at Hypergene GmbH /Blue Ant Multi-Projektmanagementsoftware,https://www.linkedin.com/in/norman-frischmuth-61bb1863,uncertain,,,,,,,,no,,,,,,invalid,"Firmen-Zuordnung nur possible_match; kein Stellentitel im Profil, nur headline 'Managing Director at Hypergene GmbH /Blue Ant Multi-Projektm'",0,skipped_uncertain,
"kein Stellentitel im Profil, nur headline 'Digital problem solver in all things web, ecommerce, and ser'",704,master.db,coders.win,coders.win,https://coders.win/,Striehlstraße 10,30159,Hannover,Deutschland,"Softwareentwickler/-hersteller, E-Commerce-Agentur, E-Commerce-Dienst, Informationsservice","Softwareentwickler/-hersteller, E-Commerce-Agentur, E-Commerce-Dienst, Informationsservice",,,+49 15678 624492,,NO,0.9,"The website describes development of websites, Shopify apps, and use of various web technologies, but contains no specific evidence that the company sells any kind of automation service or consulting to customers.",We are a thriving collective agency focusing on building performant websites using the individually best-suited tech-stack... These are some selected cases that we worked on... A Shopify app to add additional details to the products vendors by leveraging Shopify's Metaobjects...,https://coders.win/,ok,yes,,yes,coders.win,strong_match,0.7,Joda Stoesser,,"Digital problem solver in all things web, ecommerce, and server hosting | Combining my 2 passions, tech and supporting o",https://www.linkedin.com/in/simjost,uncertain,,,,,,,,no,,,,,,invalid,"kein Stellentitel im Profil, nur headline 'Digital problem solver in all things web, ecommerce, and ser'",0,skipped_uncertain,
Automatisierung unklar,4569,master.db,Enigma Software GmbH,enigma-software.de,http://www.enigma-software.de,Bernhardstr. 9,45239,Essen,Deutschland,Softwareentwicklung,Softwareentwicklung,,,+492018407843,info@enigma-software.de,UNCERTAIN,0.0,Zu wenig lesbarer Text auf der Webseite,,,leer,no,automation_uncertain,no,,,0.0,,,,,,,,,,,,,no,,,,,,,Zu wenig lesbarer Text auf der Webseite,0,skipped_no_api_call,
kein Entscheider gefunden,5172,master.db,faktordrei GmbH - Mac Store & IT-Solutions,faktordrei.de,https://www.faktordrei.de/,Am Gelskamp 14a,32758,Detmold,Deutschland,"Computergeschäft, Geschäft für Computerzubehör, Computerreparaturdienst, Computersicherheitsdienst, Computerservice","Computergeschäft, Geschäft für Computerzubehör, Computerreparaturdienst, Computersicherheitsdienst, Computerservice, Elektroreparaturgeschäft, Reparaturladen für Mobiltelefone",,Michael Wolff - Geschäftsführer,+49 5231 944080,,NO,0.9,"Die Firma faktordrei bietet IT-Systemhausdienstleistungen, Beratung, Verkauf, Wartung, Reparaturen, IT-Sicherheit und Softwarelösungen an, aber es gibt keine belastbaren Hinweise auf Automatisierungsdienstleistungen oder Workflow-Automatisierung für Kunden.","Wir kümmern uns um Auswahl, Beschaffung und Installation aller Komponenten bei Ihnen vor Ort. Und wenn Sie wünschen, sind wir auch im Anschluss an die Projektrealisierung immer für Sie da. Dank unserer Wartungsverträge können Sie sich auf eine stets professionelle Betreuung Ihrer IT durch faktordrei",https://www.faktordrei.de/business/leistungsportfolio,ok,yes,,yes,Faktordrei GmbH,possible_match,0.6,,,,,none,,,,,,,,no,,,,,,invalid,kein Entscheider gefunden,0,no_decision_maker,
kein Entscheider gefunden,1742,master.db,Genia-Sec IT-Sicherheitsmanagement GmbH,genia-sec.de,http://www.genia-sec.de/,Lerchenstraße 40,86830,Schwabmünchen,Deutschland,"Computersicherheitsdienst, IT-Berater","Computersicherheitsdienst, IT-Berater",,,+49 8232 730221,,NO,0.9,"Die Firma bietet IT-Sicherheitsberatung, -projekte und Produkte an, jedoch kein belastbares Angebot von Automatisierung als Dienstleistung oder Produkt an Kunden.","Das Dienstleistungsangebot erstreckt sich dabei über Schulungen und Trainings, Durchführung und Leitung von Security Projekten, Remote Management und Monitoring sowie IT-Sicherheitsberatung auf Managementebene.",http://www.genia-sec.de/,ok,yes,,yes,Genia-Sec IT-Sicherheitsmanagement,possible_match,0.6,,,,,none,,,,,,,,no,,,,,,invalid,kein Entscheider gefunden,0,no_decision_maker,
kein Entscheider gefunden,4050,master.db,IT Advise & Systems GmbH,it-advise.de,https://www.it-advise.de,Bannemer Feld 36,46569,Hünxe,Deutschland,IT-Dienstleistungen,IT-Dienstleistungen,,,+492858595810,post@it-advise.de,NO,0.9,"Die Firma bietet IT-Dienstleistungen wie IT-Betreuung, Managed Services, IT-Consulting und Softwareintegration an, verkauft aber keine Automatisierungs-Dienstleistung oder Produkt explizit zur Workflow- oder Geschäftsprozessautomatisierung an Kunden.",Unsere Managed Service Pakete (MSP) bieten umfassende Betreuung und Überwachung Ihrer IT-Systeme... IT-Beratung ist entscheidend für Datenschutz und GOBD... Wir implementieren und betreuen Ihre Starface Telefonanlage... Softwareintegration umfasst die Installation von Branchensoftware und deren naht,https://www.it-advise.de/Leistungen,ok,yes,,yes,IT Advise & Systems GmbH,strong_match,0.7,,,,,none,,,,,,,,no,,,,,,invalid,kein Entscheider gefunden,0,no_decision_maker,
kein Entscheider gefunden,228,master.db,kleinert-pcservice,kleinert-pcservice.de,https://kleinert-pcservice.de/,Ziegeleistraße 4,31089,Duingen,Deutschland,"Computerservice, Computerreparaturdienst, Computergeschäft, Computersupport und -dienste","Computerservice, Computerreparaturdienst, Computergeschäft, Computersupport und -dienste",,,+49 5185 958845,,NO,0.9,"Die Webseite beschreibt IT-Dienstleistungen wie Planung, Wartung, Service, Reparatur und Netzwerktechnik, ohne Hinweise auf ein Angebot von Automatisierungsdienstleistungen oder -produkten für Kunden.",Dienstleistungen Planung Wartung Service Reparatur Verkauf IP-TV Elektronische SchlieÃsysteme Professionelle VideoÃ¼berwachung Glasfaser / DSL / LTE-5G Satelliten Internet Netzwerk Technik IT Fehlersuche / Diagnose,https://kleinert-pcservice.de/,ok,yes,,yes,kleinert-pcservice,strong_match,0.7,,,,,none,,,,,,,,no,,,,,,invalid,kein Entscheider gefunden,0,no_decision_maker,
Firmen-Zuordnung unsicher | kein Entscheider gefunden,2483,master.db,NITEFLITE interaktiv,niteflite.com,http://www.niteflite.com/,Zieblandstraße 18,80798,München,Deutschland,Softwareentwickler/-hersteller,Softwareentwickler/-hersteller,,,+49 89 71669220,,NO,0.9,"Die Firma bietet Web-Applikationen-Entwicklung und IT-Systemdienstleistungen an, jedoch keine explizite Automatisierungs-Dienstleistung oder -Beratung für Kunden.",Wir entwickeln und gestalten Business-Anwendungen im Internet mit Hilfe von Open Source Komponenten. ... Das Dienstleistungsangebot umfasst auch die Administration und die laufende Überwachung der IT-Systeme.,http://www.niteflite.com/,ok,yes,,no,,no_match,0.0,,,,,none,,,,,,,,no,,,,,,invalid,kein Entscheider gefunden,0,no_decision_maker,
kein Entscheider gefunden,771,master.db,Polytec GmbH,polytec-media.de,http://www.polytec-media.de/,Max-von-Laue-Straße 27,30966,Hemmingen-Westerfeld,Deutschland,Softwareentwickler/-hersteller,Softwareentwickler/-hersteller,,,+49 511 2153116,,NO,0.9,"Die Firma bietet IT-Consulting, Prozessdigitalisierung und Softwareentwicklung an, erwähnt jedoch keine explizite Dienstleistung zur Automatisierung von Workflows, Geschäftsprozessen oder Einführung von Automatisierungsplattformen für Kunden.",Unsere Beratungsleistungen sind auf die spezifischen Bedürfnisse jedes Kunden zugeschnitten. Seit 2005 ist es uns gelungen ein breites Portfolio an Kernkompetenzen aufzubauen: Optimierung von Prozessstrukturen ERP Projektberatung & Betreuung Software Auswahlverfahren Prozessdigitalisierung Business ,https://www.polytec-media.de/services,ok,yes,,yes,Polytec Gmbh Internetagentur,possible_match,0.6,,,,,none,,,,,,,,no,,,,,,invalid,kein Entscheider gefunden,0,no_decision_maker,
"Firmen-Zuordnung nur possible_match; kein Stellentitel im Profil, nur headline 'Geschäftsführer bei powerBridge Computer Vertriebs GmbH'",1392,master.db,powerBridge Computervertrieb,powerbridge.de,https://www.powerbridge.de/,Ehlbeek 15A,,,Deutschland,office=it,office=it,,,,,NO,0.9,"Die Firma bietet kundenspezifische Computersysteme, Systemintegration und technischen Support, aber keine automatisierungsbezogenen Dienstleistungen oder Automatisierungs-Implementierungen als Angebot an Kunden.","powerBridge Computer liefert seit 1993 Computersysteme und Computer-Boards von führenden Herstellern. Wir entwickeln und fertigen Industriecomputer, Kommunikationssysteme und Boards nach den Anforderungen unserer Kunden. ... Als Systemintegrator übernimmt powerBridge Computer die technische Bewertun",https://www.powerbridge.de/,ok,yes,,yes,powerBridge Computer Vertriebs GmbH,possible_match,0.5,Fabio Görke,,Geschäftsführer bei powerBridge Computer Vertriebs GmbH,https://www.linkedin.com/in/fabio-görke-820047244,uncertain,,,,,,,,no,,,,,,invalid,"Firmen-Zuordnung nur possible_match; kein Stellentitel im Profil, nur headline 'Geschäftsführer bei powerBridge Computer Vertriebs GmbH'",0,skipped_uncertain,
