grund,company_id,company,domain,website,plz,ort,land,company_phone,automation_status,automation_confidence,automation_reason,automation_evidence,automation_source_url,website_status,eligible,exclusion_reason,fullenrich_company_found,fullenrich_company_name,company_match_status,company_match_score,decision_maker,title,headline,linkedin,personal_email,personal_email_status,work_email,work_email_status,direct_line,direct_line_status,mobile,mobile_status,verification_status,manual_review_reason,credits_used,api_status,error
Automatisierung unklar,4687,0208cloud DK UG (haftungsbeschränkt) IT-Dienstleistungen,0208.cloud,https://0208.cloud,46045,Oberhausen,Deutschland,+4920877891090,UNCERTAIN,0.0,Webseite nicht erreichbar - nicht prüfbar,,,nicht_erreichbar,no,automation_uncertain,no,,,0.0,,,,,,,,,,,,,,Webseite nicht erreichbar - nicht prüfbar,0,skipped_no_api_call,
Automatisierung unklar,4599,ACK Software- und Beratungsgesellschaft mbH Softwareberatung,acknowledge.de,http://www.acknowledge.de,44135,Dortmund,Deutschland,+49231527604,UNCERTAIN,0.0,Zu wenig lesbarer Text auf der Webseite,,,leer,no,automation_uncertain,no,,,0.0,,,,,,,,,,,,,,Zu wenig lesbarer Text auf der Webseite,0,skipped_no_api_call,
Automatisierung unklar,4288,Digibau / Digi.tale - Bau.pläne,cad-home-office.de,http://www.cad-home-office.de,77694,Kehl,Deutschland,+4978516367710,UNCERTAIN,0.0,Webseite nicht erreichbar - nicht prüfbar,,,nicht_erreichbar,no,automation_uncertain,no,,,0.0,,,,,,,,,,,,,,Webseite nicht erreichbar - nicht prüfbar,0,skipped_no_api_call,
Automatisierung unklar,838,Dr. Bittner Group GmbH,drbg.de,https://www.drbg.de/,30659,Hannover,Deutschland,+49 800 88446688,UNCERTAIN,0.0,Webseite nicht erreichbar - nicht prüfbar,,,nicht_erreichbar,no,automation_uncertain,no,,,0.0,,,,,,,,,,,,,,Webseite nicht erreichbar - nicht prüfbar,0,skipped_no_api_call,
Automatisierung unklar,4569,Enigma Software GmbH,enigma-software.de,http://www.enigma-software.de,45239,Essen,Deutschland,+492018407843,UNCERTAIN,0.0,Zu wenig lesbarer Text auf der Webseite,,,leer,no,automation_uncertain,no,,,0.0,,,,,,,,,,,,,,Zu wenig lesbarer Text auf der Webseite,0,skipped_no_api_call,
Automatisierung unklar,1786,Günther Glogger Software,gosys.de,http://www.gosys.de/,86807,Buchloe,Deutschland,+49 8241 90044,UNCERTAIN,0.3,"Die Webseite beschreibt eine Softwarelösung zur Steigerung der Produktivität und effektivere Arbeitsabläufe, erwähnt jedoch keine expliziten Automatisierungsleistungen oder -produkte für Kunden.","GoSys Ultimate läßt Ihr Team schneller und intelligenter arbeiten. Und die Resultate lassen häufig nicht lange auf sich warten: effektivere Arbeitsabläufe, bessere Koordination, größere Produktivität.",http://www.gosys.de/,ok,no,automation_uncertain,no,,,0.0,,,,,,,,,,,,,,"Die Webseite beschreibt eine Softwarelösung zur Steigerung der Produktivität und effektivere Arbeitsabläufe, erwähnt jedoch keine expliziten Automatisierungsleistungen oder -produkte für Kunden.",0,skipped_no_api_call,
Automatisierung unklar,4375,Simon Janeck IT-Support,itservice-aachen.de,http://www.itservice-aachen.de,52066,Aachen,Deutschland,+4924195498110,UNCERTAIN,0.0,Webseite nicht erreichbar - nicht prüfbar,,,nicht_erreichbar,no,automation_uncertain,no,,,0.0,,,,,,,,,,,,,,Webseite nicht erreichbar - nicht prüfbar,0,skipped_no_api_call,
Automatisierung unklar,1712,JAMARA e.K.,jamara.com,https://www.jamara.com/,88317,Aichstetten,Deutschland,+49 7565 94120,UNCERTAIN,0.0,Zu wenig lesbarer Text auf der Webseite,,,leer,no,automation_uncertain,no,,,0.0,,,,,,,,,,,,,,Zu wenig lesbarer Text auf der Webseite,0,skipped_no_api_call,
Automatisierung unklar,3337,KAESTNER IT-Solutions,kaestner-its.de,http://www.kaestner-its.de/,89520,Heidenheim an der Brenz,Deutschland,+49 7321 660592,UNCERTAIN,0.0,Webseite nicht erreichbar - nicht prüfbar,,,nicht_erreichbar,no,automation_uncertain,no,,,0.0,,,,,,,,,,,,,,Webseite nicht erreichbar - nicht prüfbar,0,skipped_no_api_call,
Automatisierung unklar,2012,mw-it-consult,mw-it-consult.com,http://www.mw-it-consult.com/,85049,Ingolstadt,Deutschland,+49 841 33056,UNCERTAIN,0.0,Zu wenig lesbarer Text auf der Webseite,,,leer,no,automation_uncertain,no,,,0.0,,,,,,,,,,,,,,Zu wenig lesbarer Text auf der Webseite,0,skipped_no_api_call,
Automatisierung unklar,4154,My - SCS Sancak Computer & IT Dienstleistungen,my-scs.de,http://www.my-scs.de,50737,Köln,Deutschland,+4922197755669,UNCERTAIN,0.0,Zu wenig lesbarer Text auf der Webseite,,,leer,no,automation_uncertain,no,,,0.0,,,,,,,,,,,,,,Zu wenig lesbarer Text auf der Webseite,0,skipped_no_api_call,
